Categoria,Chiave di ricerca,Risposta
Informazioni Generali,Informazioni su nome e indirizzo parrocchia,"Parrocchia [NOME] | [INDIRIZZO]"
Informazioni Generali,Motto parrocchia,"""Cercare Dio nella vita quotidiana"""
Informazioni Generali,Link sito parrocchia,www.parrocchia.com
Informazioni Generali,Link pagina Facebook parrocchia,fb.com/parrocchia
Informazioni Generali,Link canale YouTube parrocchia,@[CANALE]
Principi generali,Richiesta appuntamenti,Policy: Non fornire date specifiche. Confermare solo che la richiesta è stata annotata.
Tipologie di email,Email con proposte pastorali o culturali,1. Ringrazia il mittente. 2. Conferma che la proposta sarà esaminata a breve. 3. Comunica che verrà fornita una risposta in tempi rapidi. 4. Individua nel testo ricevuto elementi positivi e inserisci nella risposta un apprezzamento specifico per essi.
Tipologie di email,Richiesta certificati,Se richiesto un certificato: rispondere che sarà prodotto al più presto. Se e solo se viene specificato l’invio via email: rispondere che sarà inviato via email nel più breve tempo possibile. Se non viene indicata la preferenza per l’invio via email: rispondere che il richiedente sarà avvisato quando il certificato sarà pronto.
Tipologie di email,Richiesta certificato idoneità padrino/madrina,"Per ottenere il certificato di idoneità a fare da padrino o madrina, è necessario presentarsi personalmente in parrocchia durante gli orari di apertura della basilica per dichiarare di essere in condizioni di assumere questo impegno. Generalmente questo certificato è rilasciato dalla parrocchia presso la quale attualmente si risiede."
Tipologie di email,Email con scheda iscrizione catechesi,Rispondere che siamo lieti di raccogliere la loro iscrizione
Tipologie di email,Richiesta affitto locali parrocchiali,"La parrocchia vuole destinare le strutture di cui dispone esclusivamente per fini pastorali e di catechesi. Per questo motivo non li diamo in affitto per feste, riunioni condominiali, corsi professionali e simili."
Tipologie di email,Richiesta segnalazione badanti o colf,Rispondere che si prenderà in considerazione la richiesta e che si invierà a breve una risposta.
Tipologie di email,Richiesta di celebrazione di una Messa in giorno e ora specifico,"Se e solo se l'interlocutore chiede che venga celebrata una Messa in un giorno e ora specifici, rispondere che la segreteria esaminerà se per la data e ora richieste è possibile accontentare la richiesta e farà sapere al più presto. La Chiesa stabilisce di applicare solo una intenzione per Messa."
Tipologie di email,Richiesta di celebrazione di una Messa o più Messe per una intenzione,Rispondere che collocheremo la celebrazione o le celebrazioni richieste nelle Messe ancora libere da intenzioni e comunicheremo la data o le date stabilite.
